Timestamp,X,Y,Z
[1.72615805e+09],-9.21,-0.42,3.48
[1.72615805e+09],-9.23,-0.4,3.47
[1.72615805e+09],-9.2,-0.39,3.5
[1.72615805e+09],-9.21,-0.43,3.48
[1.72615805e+09],-9.23,-0.45,3.52
[1.72615805e+09],-9.18,-0.45,3.48
[1.72615805e+09],-9.23,-0.47,3.51
[1.72615805e+09],-9.21,-0.43,3.49
[1.72615805e+09],-9.19,-0.44,3.5
[1.72615805e+09],-9.23,-0.45,3.5
[1.72615805e+09],-9.22,-0.42,3.47
[1.72615805e+09],-9.25,-0.42,3.49
[1.72615805e+09],-9.25,-0.42,3.49
[1.72615805e+09],-9.23,-0.42,3.46
[1.72615805e+09],-9.22,-0.4,3.47
[1.72615805e+09],-9.24,-0.4,3.48
[1.72615805e+09],-9.21,-0.41,3.53
[1.72615805e+09],-9.24,-0.45,3.56
[1.72615805e+09],-9.27,-0.43,3.53
[1.72615805e+09],-9.24,-0.45,3.58
[1.72615805e+09],-9.25,-0.45,3.5
[1.72615805e+09],-9.22,-0.43,3.4
[1.72615805e+09],-9.23,-0.43,3.24
[1.72615805e+09],-9.28,-0.44,3.19
[1.72615805e+09],-9.21,-0.48,3.32
[1.72615805e+09],-9.18,-0.46,3.46
[1.72615805e+09],-9.22,-0.49,3.62
[1.72615805e+09],-9.14,-0.52,3.86
[1.72615805e+09],-9.09,-0.49,3.9
[1.72615805e+09],-9.1,-0.45,3.78
[1.72615805e+09],-9.19,-0.39,3.64
[1.72615805e+09],-9.35,-0.37,3.48
[1.72615805e+09],-9.32,-0.41,3.49
[1.72615805e+09],-9.23,-0.41,3.54
[1.72615805e+09],-9.23,-0.44,3.56
[1.72615805e+09],-9.22,-0.42,3.53
[1.72615805e+09],-9.22,-0.42,3.49
[1.72615805e+09],-9.21,-0.44,3.41
[1.72615805e+09],-9.24,-0.39,3.46
[1.72615805e+09],-9.22,-0.36,3.32
[1.72615805e+09],-9.24,-0.38,3.38
[1.72615806e+09],-9.17,-0.41,3.42
[1.72615806e+09],-9.16,-0.46,3.39
[1.72615806e+09],-9.16,-0.47,3.44
[1.72615806e+09],-9.16,-0.46,3.47
[1.72615806e+09],-9.23,-0.45,3.48
[1.72615806e+09],-9.21,-0.46,3.57
[1.72615806e+09],-9.25,-0.42,3.54
[1.72615806e+09],-9.26,-0.41,3.56
[1.72615806e+09],-9.28,-0.37,3.52
[1.72615806e+09],-9.27,-0.41,3.54
[1.72615806e+09],-9.26,-0.38,3.55
[1.72615806e+09],-9.2,-0.43,3.58
[1.72615806e+09],-9.25,-0.4,3.58
[1.72615806e+09],-9.27,-0.42,3.57
[1.72615806e+09],-9.26,-0.44,3.6
[1.72615806e+09],-9.27,-0.45,3.58
[1.72615806e+09],-9.24,-0.42,3.56
[1.72615806e+09],-9.25,-0.47,3.58
[1.72615806e+09],-9.2,-0.45,3.51
[1.72615806e+09],-9.19,-0.47,3.5
[1.72615806e+09],-9.16,-0.48,3.53
[1.72615806e+09],-9.15,-0.48,3.51
[1.72615806e+09],-9.17,-0.41,3.49
[1.72615806e+09],-9.17,-0.39,3.49
[1.72615806e+09],-9.15,-0.42,3.44
[1.72615806e+09],-9.16,-0.41,3.48
[1.72615806e+09],-9.17,-0.42,3.51
[1.72615806e+09],-9.19,-0.39,3.48
[1.72615806e+09],-9.21,-0.43,3.47
[1.72615806e+09],-9.2,-0.4,3.49
[1.72615806e+09],-9.2,-0.39,3.5
[1.72615806e+09],-9.2,-0.43,3.48
[1.72615806e+09],-9.17,-0.42,3.52
[1.72615806e+09],-9.2,-0.4,3.54
[1.72615806e+09],-9.22,-0.4,3.53
[1.72615806e+09],-9.2,-0.42,3.49
[1.72615806e+09],-9.18,-0.44,3.54
[1.72615806e+09],-9.2,-0.44,3.49
[1.72615806e+09],-9.21,-0.44,3.5
[1.72615806e+09],-9.21,-0.49,3.5
[1.72615806e+09],-9.21,-0.46,3.6
[1.72615806e+09],-9.22,-0.44,3.63
[1.72615806e+09],-9.2,-0.52,3.57
[1.72615806e+09],-9.25,-0.5,3.77
[1.72615806e+09],-9.26,-0.42,3.85
[1.72615806e+09],-9.32,-0.4,3.64
[1.72615806e+09],-9.23,-0.41,3.5
[1.72615806e+09],-9.17,-0.39,3.45
[1.72615806e+09],-9.25,-0.39,3.5
[1.72615806e+09],-9.25,-0.42,3.44
[1.72615806e+09],-9.21,-0.51,3.52
[1.72615806e+09],-9.14,-0.51,3.57
[1.72615806e+09],-9.14,-0.51,3.56
[1.72615806e+09],-9.16,-0.54,3.55
[1.72615806e+09],-9.17,-0.53,3.56
[1.72615806e+09],-9.24,-0.52,3.46
[1.72615806e+09],-9.24,-0.47,3.43
[1.72615806e+09],-9.17,-0.45,3.41
[1.72615806e+09],-9.16,-0.42,3.4
[1.72615806e+09],-9.15,-0.4,3.47
[1.72615806e+09],-9.16,-0.41,3.5
[1.72615806e+09],-9.16,-0.41,3.52
[1.72615806e+09],-9.16,-0.42,3.58
[1.72615806e+09],-9.2,-0.38,3.61
[1.72615806e+09],-9.2,-0.4,3.63
[1.72615806e+09],-9.24,-0.43,3.62
[1.72615806e+09],-9.21,-0.43,3.59
[1.72615806e+09],-9.23,-0.47,3.55
[1.72615806e+09],-9.25,-0.46,3.6
[1.72615806e+09],-9.2,-0.48,3.59
[1.72615806e+09],-9.22,-0.52,3.52
[1.72615806e+09],-9.2,-0.48,3.54
[1.72615806e+09],-9.19,-0.46,3.48
[1.72615806e+09],-9.19,-0.46,3.5
[1.72615806e+09],-9.21,-0.43,3.54
[1.72615806e+09],-9.2,-0.44,3.51
